,,,,,,Best Station Coordinates,,Best Station Coordinates,,Best Station ,,,,,,,,,,Contained in CERA,NC v9.99 grid station coordinates,,Dry in NC,New NC v9.99 grid station coords,,HSOFS grid coords,,Dry in HSOFS,New HSOFS grid coords,,Notes on 
9,CWF,0204382800,Pasquotank River Near South Mills,NC,USGS,"36 25' 17""","76 20' 33""",36.42138889,-76.3425,USGS,CWF 10/11/2016,NAD83,NAVD88,no conversion in VDATUM,0,-5.50ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0204382800,,,,,,,,,,,,
10,CWF,EMWN7,Pasquotank River at Elizabeth City Mariners' Wharf Park,NC,NCEM,,,36.298522,-76.218561,NCEM,CWF 10/14/2016,NAD83,NAVD88,-0.019,0,Sensor elevation -3.59 above NAVD88 datum conversion using VDATUM,EDT,wl/met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=718&site=f3ae502e-9736-45ed-b7be-ea09199c9a59,,,,,,,,,,,,
11,CWF,EWPN7,Chowan R. at Edenton Waterfront Park,NC,NCEM,,,36.05651,-76.611386,NCEM,CWF 10/14/2016,NAD83,NAVD88,0.1154,0,Sensor elevation -4.58 above NAVD88 datum conversion using VDATUM,EDT,wl/met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=719&site=10909a6b-f7a2-43b7-9426-163d0cc3f2f8,,,,,,,,,,,,
12,CWF,02053200,Potecasi Creek near Union,NC,USGS,"36 22' 15""","77 01' 32""",36.37083333,-77.02555556,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.1457,3.53ft above NGVD29 used VDATUM to convert,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02053200,,,,,,,,,,,,
13,CWF,02053500,Ahoskie Creek at Ahoskie,NC,USGS,"36 16' 49""","76 59' 58""",36.28027778,-76.99944444,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.152,17.46 ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02053500,,,,,,,,,,,,
14,CWF,0208111310,Cashie R at SR1257 nr Windsor,NC,USGS,"36 02' 52""","76 59' 03""",36.04777778,-76.98416667,USGS,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Gauge located 3.16ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208111310,,,,,,,,,,,,
15,CWF,WNRN7,Cashie River at King Street at Windsor,NC,NCEM,"35 59' 38""","76 56' 33""",35.99388889,-76.9425,NOAA NWS,CWF 10/14/2016,NAD83,Unknown,,,Sensor Elevation -.80ft no datum listed,EDT,met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=716&site=62a1bbfa-0295-4c70-a848-4346c04f1501,,,,,,,,,,,,
16,CWF,02081000,Roanoke River near Scotland Neck ,NC,USGS,"36 12' 33""","77 23' 02""",36.20916667,-77.38388889,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.1313,5.77ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02081000,,,,,,,,,,,,
17,CWF,02081022,Roanoke River near Oak City,NC,USGS,"36 00' 49""","77 12' 55""",36.01361111,-77.21527778,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.0997,0ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02081022,,,,,,,,,,,,
18,CWF,02081028,Roanoke River at Hamilton,NC,USGS,"35 56' 51""","77 12' 09""",35.9475,-77.2025,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.0832,0 ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02081028,,,,,,,,,,,,
19,CWF,02081054,Roanoke River at Williamston,NC,USGS,"35 51' 35""","77 02' 25""",35.85972222,-77.04027778,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.7705,-2.86ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02081054,,,,,,,,,,,,
20,CWF,02081094,Roanoke River At Jamesville,NC,USGS,"35 48' 47""","76 53' 34"" ",35.81305556,-76.89277778,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.056,0ft NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02081094,,,,,,,,,,,,
21,CWF,0208114150,Roanoke River at NC 45 near Westover,NC,USGS,"35 54' 54""","76 43' 22""",35.915,-76.72277778,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.0891,0ft NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208114150,,,,,,,,,,,,
22,CWF,02083500,Tar River at Tarboro,NC,USGS,,,35.894167,-77.533056,SRFC,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,9.32ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02083500,,,,,,,,,,,,
31,CWF,02084000,Tar River at Greenville,NC,USGS,"35 37' 00""","77 22' 22""",35.61666667,-77.37277778,USGS,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Gauge located -3.54ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02084000,,,,,,,,,,,,
30,CWF,02084160,Chicod Cr @ SR1760 nr Simpson,NC,USGS,"35 33' 42""","77 13' 51""",35.56166667,-77.23083333,USGS,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Gauge located -1.1ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02084160,,,,,,,,,,,,
28,CWF,02084472,Pamlico River at Washington,NC,USGS,"35 32' 36""","77 03' 43""",35.54333333,-77.06194444,USGS,CWF 10/14/2016,NAD83,NAVD88,0.3714,0,Gauge located -1ft above NAVD88 conversion using VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02084472,,,,,,,,,,,,
23,CWF,02084557,Van Swamp near Hoke,NC,USGS,"35 43' 51""","76 44' 46""",35.73083333,-76.74611111,USGS,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Gauge located 11.8ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02084557,,,,,,,,,,,,
29,CWF,GRMN7,Tar River at SR 1565 nr Grimesland,NC,NCEM,,,35.573889,-77.175833,SRFC,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Sensor elevation -2.9ft above NAVD88,EDT,wl,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=658&site=e5110978-c2e7-40a2-b6bc-92ec56aec243,,,,,,,,,,,,
24,CWF,COLN7,Scuppernong R. At Columba Town Hall,NC,NCEM,,,35.917504,-76.254359,SRFC,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Sensor elevation -2.61ft above NAVD88,EDT,wl/met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=720&site=66c8f050-93e3-4443-bc48-9125a6d8aa34,,,,,,,,,,,,
25,CWF,BLHN7,Pungo R at Belhaven - Vidant Health (Hospital),NC,NCEM,,,35.537222,-76.622778,SRFC,CWF 10/14/2016,NAD83,NAVD88,0.2459,0,Sensor elevation -2.45ft above NAVD88 conversion using VDATUM,EDT,wl/met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=726&site=e52a0f78-f46a-495a-8b41-bf5ad170985c,,,,,,,,,,,,
26,CWF,0208458892,Lake Mattamuskeet W of NC Hwy 94 Nr Fairfield,NC,USGS,"35 30' 21""","76 15' 14""",35.50583333,-76.25388889,USGS,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Gauge located -2ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208458892,,,,,,,,,,,,
27,CWF,0208458893,Lake Mattamuskeet E of NC Hwy 94 near Fairfield,NC,USGS,"35 30' 23""","76 11' 02""",35.50638889,-76.18388889,USGS,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Gauge located -2ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0208458893,,,,,,,,,,,,
33,CWF,02089500,Neuse River at Kinston,NC,USGS,"35 15' 28""","77 35' 08""",35.25777778,-77.58555556,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.203,10.9ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02089500,,,,,,,,,,,,
32,CWF,02091500,Contentnea Creek at Hookerton,NC,USGS,"35 25' 44""","77 34' 57""",35.42888889,-77.5825,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1,14.85ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02091500,,,,,,,,,,,,
34,CWF,02091814,Neuse River Near Fort Barnwell,NC,USGS,"35 18' 50""","77 18' 10""",35.31388889,-77.30277778,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.196,0ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02091814,,,,,,,,,,,,
35,CWF,0209205053,Swift Creek at Hwy 43 Nr Streets Ferry,NC,USGS,"35 13' 51""","77 06' 50""",35.23083333,-77.11388889,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.12,0ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0209205053,,,,,,,,,,,,
36,CWF,02092500,Trent R Near Trenton,NC,USGS,"35 03' 51""","77 27' 41""",35.06416667,-77.46138889,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.12,19.15ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02092500,,,,,,,,,,,,
37,CWF,02092554,Trent R At Pollocksville,NC,USGS,"35 00' 36""","77 13' 08""",35.0100,-77.21888889,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.05,0ft above NGVD29 used VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02092554,,,,,,,,,,,,
38,CWF,TRTN7,Trent R. at Trenton at N. Weber St,NC,NCEM,,,35.0652778,-77.3511111,NCEM,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Sensor elevation -0.47ft above NAVD88,EDT,met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=715&site=c5abe961-199e-4bb5-b4a0-a3539d2dbd5d,,,,,,,,,,,,
39,CWF,ORLN7,Neuse R. at Oriental Town Pier,NC,NCEM,,,35.0244328,-76.6919377,NCEM,CWF 10/14/2016,NAD83,NAVD88,0.2943,0,Sensor elevation -4.63ft above NAVD88 conversion using VDATUM,EDT,wl/met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=725&site=6be63f62-6971-42fe-a4ee-1e04486865dc,,,,,,,,,,,,
40,CWF,CTIN7,Pamlico Sound at Cedar Island Ferry Terminal,NC,NCEM,,,35.018312,-76.3144792,NCEM,CWF 10/14/2016,NAD83,NAVD88,0.0268,0,sensor elevation -1.7ft above NAVD88 conversion using VDATUM,EDT,wl/met,https://contrail.nc.gov/site.php?view_id=3&view=ONERAIN-V-4C87B3E6369D3&site_id=724&site=72208ba6-02ad-448b-8459-0ab692f95877,,,,,,,,,,,,
41,CWF,02093000,New River Near Gum Branch,NC,USGS,"34 50' 57""","77 31' 10""",34.84916667,-77.51944444,USGS,CWF 10/14/2016,NAD83,NAVD88,no conversion in VDATUM,0,Gauge located 1.51ft above NAVD88,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02093000,,,,,,,,,,,,
42,CWF,02105769,Cape Fear R @ Lock #1 Nr Kelly,NC,USGS,"34 24' 16""","78 17' 37""",34.40444444,-78.29361111,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,0.98,-2.9ft above NGVD29 conversion using VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02105769,,,,,,,,,,,,
43,CWF,02106500,Black River Near Tomahawk,NC,USGS,"34 45' 18""","78 17' 19""",34.755,-78.28861111,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-0.81,24.61ft above NGVD29 conversion using VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02106500,,,,,,,,,,,,
44,CWF,02108000,NE Cape Fear Rvr Nr Chinquapin,NC,USGS,"34 49' 44"" ","77 49' 56"" ",34.82888889,-77.83222222,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-0.96,17.28ft above NGVD29 conversion using VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02108000,,,,,,,,,,,,
45,CWF,02108566,Northeast Cape Fear R Nr Burgaw,NC,USGS,"34 35' 54""","77 52' 31""",34.59833333,-77.87527778,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-0.97,0ft above NGVD29 conversion using VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02108566,,,,,,,,,,,,
46,CWF,02109500,Waccamaw River at Freeland,NC,USGS,"34 05' 42""","78 32' 54""",34.095,-78.54833333,USGS,CWF 10/14/2016,NAD83,NGVD29,no conversion in VDATUM,-1.06,15.52ft above NGVD29 conversion using VDATUM,EDT,wl,http://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02109500,,,,,,,,,,,,
47,CWF,44100,Duck FRF 26m,NC,NOAA NDBC,"36 15' 31""","75 35' 32""",36.25861111,-75.59222222,NDBC,CWF 10/12/2016,NAD83,MSL,0,0.3963,conversion using VDATUM,UTC,waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
48,CWF,FRFN7,USACE-CHL Field Research Facility Duck,NC,NOAA NDBC,"36 11' 21""","75 44' 21""",36.18916667,-75.73916667,NDBC,CWF 10/12/2016,NAD83,MSL,0,0.413,conversion using VDATUM,UTC,met,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
49,CWF,44056,Duck FRF,NC,NOAA NDBC,"36 12' 0""","75 42' 50""",36.2,-75.71388889,NDBC,CWF 10/12/2016,NAD83,MSL,0,0.4048,conversion using VDATUM,UTC,waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
50,CWF,44095,Oregon Inlet (192),NC,NOAA NDBC,"35 45' 0""","75 19' 48""",35.75,-75.33,NDBC,CWF 10/12/2016,NAD83,MSL,0,0.3622,conversion using VDATUM,UTC,waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
51,CWF,41025 (LLNR 640),Diamond Shoals,NC,NOAA NDBC,"35 0' 22""","75 24' 7""",35.00611111,-75.40194444,NDBC,CWF 10/12/2016,NAD83,MSL,0,0.3924,conversion using VDATUM,UTC,met/waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
52,CWF,CLKN7,Cape Lookout,NC,NOAA NDBC,"34 37' 18""","76 31' 30""",34.62166667,-76.525,NDBC,CWF 10/13/2016,NAD83,MSL,0,-0.4185,site is 4.6ft above MSL conversion using VDATUM,UTC,met,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
53,CWF,41037,Wrightsville Beach Offshore (ILM3),NC,NOAA NDBC,"33 59' 19""","77 21' 40""",33.98861111,-77.36111111,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.4216,conversion using VDATUM,UTC,met,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
54,CWF,41038,Wrightsville Beach Nearshore (ILM2),NC,NOAA NDBC,"34 8' 30""","77 43' 7""",34.14166667,-77.71861111,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.4308,conversion using VDATUM,UTC,met,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
55,CWF,41110,Masonboro Inlet ILM2 (150),NC,NOAA NDBC,"34 8' 28""","77 43' 0""",34.14111111,-77.71666667,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.4304,conversion using VDATUM,UTC,met/waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
56,CWF,NOXN7,Research Creek North Carolina Reserve,NC,NOAA NDBC,"34 9' 20"" ","77 51' 3""",34.15555556,-77.85083333,NDBC,CWF 10/13/2016,NAD83,MSL,0,-0.3783,site is 4.88m above MSL conversion using VDATUM,UTC,met,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
57,CWF,41108,Wilmington Harbor - (200),NC,NOAA NDBC,"33 43' 16""","78 0' 53""",33.72111111,-78.01472222,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.4544,conversion using VDATUM,UTC,waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
58,CWF,41024,Sunset Nearshore (SUN2),NC,NOAA NDBC,"33 50' 14""","78 28' 36""",33.83722222,-78.47666667,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.373,conversion using VDATUM,UTC,met,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
59,CWF,41159,Onslow Bay Outer (217),NC,NOAA NDBC,"34 12' 37""","76 56' 54""",34.21027778,-76.94833333,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.1178,conversion using VDATUM,UTC,waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
60,CWF,41013,Frying Pan Shoals,NC,NOAA NDBC,"33 26' 11"" ","77 44' 35""",33.43638889,-77.74305556,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.1361,conversion using VDATUM,UTC,met,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
61,CWF,SSBN7,Sunset Beach Nearshore Waves (SUN2WAVE),NC,NOAA NDBC,"33 50' 29""","78 28' 55""",33.84138889,-78.48194444,NDBC,CWF 10/13/2016,NAD83,MSL,0,0.1131,conversion using VDATUM,UTC,waves,http://www.ndbc.noaa.gov/maps/NorthCarolina.shtml,,,,,,,,,,,,
62,CWF,41002,South Hatteras 225NM South of Cape Hatteras,NC,NOAA NDBC,"31 45' 36""","74 50' 24""",31.76,-74.84,NDBC,CWF 10/14/2016,NAD83,MSL,0,no conversion,,UTC,met/waves,http://www.ndbc.noaa.gov/station_page.php?station=41002,,,,,,,,,,,,
63,CWF,WNDN7,Cashie River near Windsor,NC,Southern River Forecast Center,,,36.048056,-76.984167,SRFC,CWF 10/14/2016,NAD83,NAVD88,no conversion,0,,UTC,wl,http://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=wndn7,,,,,,,,,,,,
64,Ajimon,41064,Onslow Bay (LEJ3),NC,NOAA NDBC,"34 12' 26""","76 56' 56""",34.20722222,-76.94888889,NDBC,Ajimon 10/14/2016,NAD83,MSL,0,,,UTC,met,http://www.ndbc.noaa.gov/station_page.php?station=41064,,,,,,,,,,,,
